Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,PA,Training facilities,Div Rep,FCA
"M/AM (RL), ST (C)",32.2217659137577,9,14,14,642,6.61,8,9,7,12,11,2000,75,115,9,72,65
"DM, M (C)",32.27378507871321,15,14,15,3493,7.0,13,13,13,5,4,3250,109,128,14,107,110
"DM, AM (C)",32.41341546885695,18,14,14,3807,6.98,15,12,11,14,7,4000,115,133,17,107,114
"AM (C), ST (C)",33.00479123887748,6,4,10,1534,6.73,13,10,5,18,18,1850,75,115,7,72,64
D (C),32.780287474332646,16,10,12,190,6.8,15,11,15,11,8,3250,116,132,16,134,114
M/AM (RL),32.33401779603012,8,5,5,2140,7.07,10,7,13,5,2,1500,72,103,3,72,60
D/WB (L),32.27378507871321,13,13,10,3269,6.79,14,11,11,16,11,2750,100,133,8,85,90
ST (C),32.70636550308008,11,15,14,2755,7.15,12,11,12,8,8,2250,100,105,9,85,98
D/WB (R),32.57221081451061,13,13,14,2108,6.79,14,12,13,10,2,3150,108,133,11,107,100
"D (LC), WB (L)",32.20260095824778,13,11,12,1775,6.64,10,11,12,11,14,2000,85,98,9,85,78
GK,33.158110882956876,17,13,12,3704,7.01,13,12,14,14,10,5750,135,146,16,173,133
D (C),32.65160848733744,12,12,12,3283,6.88,15,13,10,11,15,4000,112,138,10,134,106
GK,32.29295003422313,15,13,11,0,0.0,3,14,10,19,3,1650,83,105,8,73,82
"AM (L), ST (C)",31.772758384668034,11,11,12,3926,7.03,8,10,11,13,3,2500,78,118,7,46,78
"AM (RL), ST (C)",32.26283367556468,15,16,17,2330,6.75,11,16,16,14,5,5000,126,145,18,120,124
"DM, M (C)",32.36413415468857,17,12,14,2751,6.79,15,15,13,14,5,3050,103,129,9,80,100
ST (C),31.928815879534564,12,17,12,2838,6.68,9,13,11,12,12,2750,117,121,15,134,113
"D/WB (L), M (LC), AM (L)",31.975359342915812,15,13,11,1080,6.69,12,11,10,12,13,3250,108,120,10,134,99
D/WB (R),32.785763175906915,17,15,12,3520,6.89,15,13,16,13,7,7000,159,159,15,185,154
"D (LC), WB (L)",32.41889117043121,18,14,13,2537,6.53,11,14,15,14,14,3500,113,135,16,134,107
ST (C),32.88158795345654,14,11,8,3621,6.8,9,12,9,12,7,4000,102,118,11,107,97
"M (RL), AM (RLC)",32.18891170431211,11,14,16,249,6.63,10,11,10,12,15,3750,95,140,11,107,85
GK,32.79123887748118,13,13,9,5250,6.76,12,9,10,9,5,1850,73,100,9,46,73
ST (C),29.998631074606433,14,14,12,34,6.4,15,12,12,8,20,3000,102,125,13,107,101
"M (RL), AM (RLC)",31.72347707049966,10,11,8,3778,6.66,11,8,11,10,6,1750,70,98,9,46,65
GK,32.04654346338125,16,15,10,0,0.0,9,7,13,15,9,3500,113,113,14,185,113
D (C),32.59411362080767,13,16,13,826,6.66,11,14,10,17,14,5250,117,133,20,147,109
WB/M/AM (L),31.46611909650924,10,16,13,2074,6.66,12,10,8,15,14,4000,114,145,16,134,110
"D (RL), WB (R)",32.24366872005476,14,12,12,24,7.0,14,13,13,14,16,5200,125,150,15,185,116
"DM, M (C)",31.978097193702943,13,14,14,462,6.8,12,11,8,11,14,1250,58,80,6,46,54
"DM, M (C)",32.45722108145106,9,12,9,4178,6.85,9,6,13,9,10,2000,69,110,11,46,61
"M (C), AM (LC)",32.70636550308008,11,10,9,17,6.6,12,10,8,10,10,2750,99,118,13,107,85
ST (C),31.27173169062286,12,12,8,103,7.05,10,3,12,7,18,2450,84,112,6,85,81
D (C),31.84120465434634,17,15,10,3214,6.88,13,13,14,12,13,5500,126,134,18,134,121
"DM, M (C), AM (LC)",30.245037645448324,9,10,10,3170,6.78,9,11,10,12,9,2500,76,110,6,46,73
M/AM (C),30.77344284736482,10,9,8,0,0.0,10,16,10,12,16,3900,120,140,11,160,110
GK,33.66461327857632,12,12,11,4320,6.81,12,11,13,8,4,1900,94,105,6,85,94
"D (R), WB (RL)",32.67077344284736,17,18,13,3433,6.74,15,16,20,10,6,2600,106,120,9,134,102
"DM, M/AM (C)",31.698836413415467,11,13,12,228,6.65,14,10,12,8,13,2000,88,110,6,85,85
"DM, M (C)",31.805612594113622,11,12,11,4222,6.84,10,10,12,7,4,600,73,75,6,46,69
D (C),31.463381245722108,7,14,7,3236,6.76,9,10,10,10,16,3000,90,104,7,72,87
"D (RC), WB (R)",31.81656399726215,12,11,10,2838,6.89,9,10,11,8,13,2100,78,108,5,72,68
"D (LC), WB (L)",31.364818617385353,15,11,13,767,6.73,10,11,9,8,11,2000,73,95,9,72,72
GK,30.77344284736482,12,12,14,90,6.9,13,10,13,10,15,3000,105,130,8,107,104
"DM, M/AM (C)",31.665982203969882,16,13,15,225,6.8,12,13,10,12,5,3750,111,136,15,134,109
D (LC),30.759753593429156,12,11,14,756,6.67,7,12,13,13,9,4750,125,139,15,178,124
D (C),31.616700889801507,16,16,14,2625,6.98,14,13,13,12,11,5000,121,140,16,134,117
"D (RC), DM, M (C)",31.83299110198494,17,17,9,686,6.71,11,16,16,13,8,2750,95,135,8,107,95
D (C),31.50171115674196,13,17,15,1602,6.84,14,15,15,13,2,5000,124,140,16,134,122
"DM, M (C)",31.734428473648187,15,16,11,2147,6.92,13,11,13,12,17,3500,116,135,9,134,109
AM (RLC),31.422313483915126,14,12,14,413,6.66,11,12,14,8,3,4250,120,139,18,134,114
"DM, M/AM (C)",31.082819986310746,12,13,15,806,6.82,12,13,15,10,5,3750,117,130,18,120,116
M/AM (C),31.40041067761807,14,15,14,985,6.85,14,13,14,18,13,4900,114,130,11,120,109
"DM, M/AM (C)",31.742642026009584,15,8,7,469,6.85,10,12,11,14,11,3500,86,121,6,80,79
D/WB (L),31.81656399726215,12,13,9,4050,6.65,6,5,8,12,13,750,63,102,8,46,54
GK,30.89664613278576,8,9,10,4230,6.62,10,4,11,14,7,2750,118,122,15,134,117
"DM, M (C)",31.096509240246405,16,10,12,3077,6.88,8,6,7,9,13,3250,102,128,8,107,100
GK,31.041752224503764,13,13,13,0,0.0,11,11,12,10,5,2750,115,125,14,134,115
"DM, M (RC)",31.419575633127995,15,14,17,518,6.85,13,13,12,18,7,4000,107,138,11,134,104
"D (RC), WB (R), DM, M (C)",31.107460643394933,15,14,11,1510,6.74,10,10,12,10,15,2750,115,130,13,134,114
"M (C), AM (LC)",31.619438740588638,14,12,12,3365,6.74,12,13,8,10,18,2400,85,128,7,72,78
D (C),31.761806981519506,15,15,11,2003,6.78,11,12,12,10,11,2350,108,123,8,107,105
GK,32.26557152635181,11,12,7,0,0.0,10,16,11,11,2,1750,100,113,16,134,100
D (C),32.5284052019165,15,11,10,3427,6.94,10,9,13,5,2,1250,92,92,9,72,91
"D (RL), WB (R)",31.750855578370977,14,15,14,1071,6.74,6,12,10,14,10,3000,78,90,7,72,72
"D (RLC), WB (RL)",31.564681724845997,17,15,13,2122,6.75,12,15,14,14,10,4000,113,135,17,107,107
"M (R), AM (RLC)",31.21423682409309,6,7,9,2877,6.99,10,9,6,10,7,3750,116,125,17,107,115
"DM, M (C)",31.586584531143053,15,11,12,2656,6.79,11,11,15,14,3,2250,83,115,7,72,79
"DM, M/AM (C)",31.364818617385353,15,14,11,2881,6.67,11,11,9,8,12,1900,64,115,2,46,62
D (C),31.685147159479808,14,10,8,477,6.67,10,11,12,14,15,2250,76,120,9,46,69
D (LC),31.76728268309377,15,12,11,144,6.75,14,11,15,12,12,5000,127,135,15,185,118
"M (R), AM (RL)",30.132785763175907,9,12,12,2385,6.96,14,10,10,13,10,1800,87,103,3,66,83
D (LC),31.225188227241617,8,12,11,3625,6.86,10,9,10,6,11,1700,89,105,7,85,88
D (LC),31.613963039014372,15,8,8,4384,6.65,14,8,11,12,7,500,58,68,2,46,54
D (C),31.613963039014372,12,14,10,4119,6.7,10,13,12,8,12,2200,64,120,9,46,62
ST (C),31.345653661875428,15,15,13,1709,6.74,13,12,13,12,16,6750,151,155,15,185,147
M/AM (RC),31.121149897330596,14,10,12,3256,7.08,11,8,12,9,5,2000,90,95,7,85,89
D (C),31.411362080766597,13,12,9,2775,6.76,12,11,10,17,5,2250,90,120,8,85,88
ST (C),33.086926762491444,18,12,16,1873,6.61,13,14,13,13,2,3750,111,135,16,134,106
ST (C),32.58590006844627,12,10,10,1703,6.59,9,10,9,12,12,2000,74,109,7,72,67
D/WB (L),34.04243668720055,12,15,10,2085,6.78,9,12,10,11,15,2300,78,110,14,72,68
ST (C),33.69472963723477,12,12,14,2080,6.79,12,11,11,12,14,3500,110,130,6,117,101
"DM, M (C)",31.575633127994525,15,14,12,3171,6.82,12,12,14,6,10,2000,81,96,7,72,75
D (C),32.832306639288156,14,12,11,172,6.7,13,8,12,13,13,2500,83,110,9,85,81
"D (RLC), WB (L)",33.582477754962355,12,14,9,3246,6.62,7,11,12,12,10,2550,107,110,6,117,98
D (C),31.802874743326488,14,15,13,1682,6.88,12,12,13,11,8,3000,110,120,17,107,110
"M/AM (R), ST (C)",33.26488706365503,15,14,14,941,6.69,13,13,14,14,11,5750,135,148,14,185,125
D (C),31.27173169062286,13,14,11,338,6.8,9,10,9,12,9,2350,91,118,20,107,91
GK,30.272416153319643,14,15,14,180,7.3,11,8,15,8,8,5750,137,140,15,185,135
"DM, M/AM (C)",30.357289527720738,17,14,12,1454,6.78,15,12,13,7,3,1750,89,110,12,85,89
M (C),38.72689938398357,12,13,12,2000,6.74,12,12,11,9,12,1750,90,95,12,86,80
"DM, M (C)",30.086242299794662,9,13,10,3047,6.78,15,10,12,8,4,3750,116,135,13,134,117
"DM, M (C)",30.647501711156742,8,12,5,2493,6.71,10,8,7,9,12,2500,91,122,9,72,90
"DM, M (C)",30.338124572210816,12,7,8,1765,6.95,10,11,8,12,17,3500,101,130,10,107,98
D (C),30.46132785763176,15,15,11,4200,6.93,13,14,14,14,7,5000,120,153,16,134,123
GK,30.04243668720055,14,12,8,360,6.97,13,11,14,11,8,3000,110,117,15,134,108
D (C),30.699520876112253,16,16,12,3118,6.71,13,12,13,14,11,5250,130,138,13,185,129
"AM (C), ST (C)",29.935660506502394,9,14,16,1395,7.14,10,8,8,9,8,2500,92,115,6,85,90
"M (R), AM (RL), ST (C)",29.9958932238193,12,12,15,710,6.75,11,11,11,10,11,3000,110,126,17,107,107
"DM, M (RC)",29.32511978097194,16,17,17,3871,6.72,10,10,17,10,16,3000,110,140,12,107,114
"M/AM (RL), ST (C)",30.406570841889117,13,13,12,3406,6.72,13,13,13,10,8,2300,108,110,10,107,108
D/WB/M (L),30.68583162217659,11,11,11,2414,6.77,8,11,10,12,13,2000,62,70,5,46,56
ST (C),30.819986310746064,9,11,11,259,6.67,10,8,9,4,19,1250,64,90,5,46,63
D (C),30.68583162217659,11,13,14,2730,6.8,10,8,9,8,6,2500,92,114,7,85,90
D (RC),29.913757700205338,14,12,10,2761,6.67,12,11,11,6,1,3000,114,117,14,134,113
GK,29.593429158110883,7,7,15,4500,6.66,2,7,9,10,6,1250,69,105,2,46,69
"D (LC), WB (L)",30.28336755646817,15,16,12,2619,6.69,13,11,15,11,5,3250,118,130,15,134,118
D/WB (L),30.116358658453116,12,13,14,1664,6.71,11,11,8,10,11,3000,101,130,6,85,99
"M (C), AM (LC), ST (C)",30.888432580424368,13,12,11,2446,6.88,11,11,8,3,12,2600,96,130,6,85,91
D (C),30.349075975359344,16,17,16,779,6.85,14,16,16,15,4,5500,131,144,20,134,130
D (C),30.614647501711158,14,13,13,226,6.57,10,10,11,10,9,3250,112,120,11,134,111
D/WB (L),30.299794661190965,11,11,13,3857,6.91,8,9,13,11,7,1000,76,85,7,46,74
D (RC),30.1492128678987,14,12,13,4394,6.78,9,10,12,14,9,3250,89,140,3,46,89
D (LC),29.83436002737851,15,12,15,916,6.68,14,11,13,12,14,4500,126,130,13,185,125
GK,30.028747433264886,14,15,14,0,0.0,9,6,13,14,8,5750,129,140,15,185,129
"D (RC), WB (R)",31.21697467488022,16,11,12,165,6.5,14,8,14,8,5,3750,117,134,18,134,117
D (C),30.472279260780287,16,17,15,172,6.63,12,12,10,10,11,5550,128,146,18,185,128
"AM (C), ST (C)",30.472279260780287,16,16,9,3104,6.65,8,15,12,14,14,3500,118,124,16,134,118
AM (RLC),29.700205338809035,12,13,14,4112,6.94,10,9,12,12,14,2750,72,116,6,46,71
M/AM (LC),29.872689938398356,5,12,10,2193,6.66,12,10,8,6,10,2250,96,118,9,107,95
GK,30.740588637919235,12,10,10,2070,6.55,11,8,14,9,2,3500,116,130,14,134,115
"D (C), ST (C)",30.414784394250514,7,16,16,2122,6.81,11,10,9,15,12,2250,69,112,4,46,66
D/WB/M/AM (R),30.754277891854894,10,11,13,1445,6.95,11,10,12,10,5,4000,114,130,14,134,112
GK,30.477754962354553,13,13,8,4320,6.66,10,13,10,7,13,2250,95,115,10,107,97
GK,30.38193018480493,14,16,14,4230,6.78,15,10,13,13,2,3000,108,115,8,107,108
ST (C),30.570841889117045,12,12,12,184,6.75,11,10,9,10,5,2800,103,125,10,134,103
"D (C), DM",30.38740588637919,16,13,9,615,6.79,11,13,10,9,12,2250,66,75,7,72,64
GK,30.60643394934976,11,12,11,0,0.0,5,12,12,9,10,1750,79,115,9,85,79
D (C),30.116358658453116,12,18,13,3988,7.05,11,14,13,14,3,3250,118,124,17,107,118
"D (LC), WB/M (L)",30.573579739904176,14,13,12,240,6.66,11,13,11,12,9,3500,110,121,15,116,109
M/AM (C),30.732375085557837,12,11,13,90,6.3,13,11,10,12,10,3500,113,128,16,134,100
GK,30.255989048596852,11,13,11,4500,6.64,12,9,12,8,6,1750,95,95,13,107,95
ST (C),30.217659137577,12,12,12,3633,7.1,9,13,10,16,4,1250,68,80,2,46,68
GK,30.223134839151268,14,12,13,270,6.83,10,8,12,10,1,3250,108,135,14,134,108
D/WB (L),30.00684462696783,13,12,11,2754,6.92,8,10,9,7,9,2000,64,110,3,46,63
D/WB/M/AM (R),30.72689938398357,11,12,10,0,0.0,11,11,12,7,14,4750,127,138,13,185,118
M/AM (C),30.16563997262149,11,13,12,544,6.93,12,9,10,10,14,3900,121,140,13,134,120
"AM (C), ST (C)",29.930184804928132,20,19,18,4200,6.93,14,18,17,10,12,8750,184,185,19,173,184
D/WB/M/AM (R),29.626283367556468,14,10,8,506,6.74,10,9,12,14,5,2250,93,126,12,85,92
D (C),30.543463381245722,14,12,12,3650,6.74,12,12,12,9,12,2500,83,125,9,72,84
ST (C),30.694045174537987,13,13,9,0,0.0,9,9,11,11,14,2300,82,115,15,85,77
"D (LC), WB (L)",30.379192334017795,11,13,11,2652,6.88,12,11,11,10,12,2000,94,110,11,72,89
"DM, M/AM (C)",30.521560574948666,15,13,13,4221,6.84,13,12,9,5,16,2000,69,105,2,46,68
D (C),30.327173169062284,16,11,15,719,6.85,13,11,12,11,5,6600,145,158,17,185,144
"AM (RL), ST (C)",30.817248459958932,10,6,9,342,6.63,5,9,5,6,6,2000,85,115,9,85,84
D/WB/M (L),29.45927446954141,9,14,7,2598,6.98,10,10,10,3,6,2000,98,110,12,85,96
"D (LC), WB (L)",30.190280629705683,15,15,13,1304,6.9,10,12,14,14,9,5900,140,145,20,185,140
"WB/M (R), AM (RL)",30.338124572210816,15,12,14,3311,6.85,11,10,11,11,11,2500,103,120,9,85,98
"WB/M/AM (R), ST (C)",30.715947980835043,9,10,12,225,6.72,11,9,7,9,16,2650,90,116,8,107,83
D (RC),30.759753593429156,14,13,12,965,6.71,5,12,11,11,18,2200,91,117,14,72,83
"DM, M (C)",29.919233401779604,13,15,12,2910,6.7,10,10,14,14,6,3050,94,120,8,85,93
D (C),30.12183436002738,11,15,16,3297,7.09,13,12,14,12,7,5500,122,133,17,147,122
D (C),30.412046543463383,13,12,10,388,6.71,12,10,14,10,5,1700,92,98,13,85,89
D/WB (L),30.32991101984942,13,13,12,3674,6.83,13,11,12,7,8,3250,119,125,15,134,118
GK,28.761122518822724,15,11,10,189,6.6,10,10,10,8,10,1150,65,95,6,46,65
D/WB (RL),30.639288158795345,9,9,11,1942,6.88,10,9,12,13,6,2600,94,110,20,107,88
"M (C), AM (RLC)",30.083504449007528,9,14,15,2475,6.85,9,9,9,11,15,1250,68,95,6,46,66
AM (RLC),29.32511978097194,13,15,13,98,6.6,12,12,12,8,5,4950,125,145,16,185,124
"AM (RL), ST (C)",29.295003422313485,16,10,15,203,6.93,4,8,8,14,14,2250,83,88,10,72,83
M/AM (RL),28.566735112936346,17,13,16,3122,7.05,13,11,14,18,2,7750,161,180,20,185,162
GK,29.322381930184804,14,14,12,4170,6.78,13,12,16,13,5,6250,150,152,18,185,150
GK,29.56331279945243,11,11,10,1440,6.86,9,11,8,8,5,2250,73,105,7,72,73
"M (L), AM (RL)",29.426420260095824,5,10,13,485,6.62,8,8,4,14,14,1500,75,128,9,72,74
D (LC),29.22108145106092,12,13,11,900,6.91,11,12,13,20,15,3750,117,124,14,185,116
GK,29.68104038329911,6,10,13,892,6.6,11,9,8,13,10,2750,92,127,20,107,92
M/AM (LC),29.730321697467488,13,11,12,3366,6.87,12,12,12,14,17,3750,94,135,8,85,92
"D (C), DM, M (C)",29.215605749486652,9,12,11,3006,6.94,8,11,7,19,13,1250,67,85,6,72,66
"DM, M/AM (C)",29.470225872689937,15,11,10,3058,6.69,10,11,12,15,6,3000,96,118,9,72,93
D (RC),29.44284736481862,13,12,16,396,6.62,12,12,12,15,9,3500,108,110,10,125,108
"DM, M/AM (C)",29.574264202600958,14,12,14,2459,6.61,12,13,9,5,11,6000,141,159,14,185,140
D (RC),29.78507871321013,14,4,12,2532,6.74,16,13,12,7,5,2500,104,120,13,107,103
D/WB (RL),29.738535249828885,14,14,11,3522,6.97,9,10,13,1,3,2500,108,120,14,107,110
"D (LC), WB (L)",29.251197809719372,16,11,10,3147,6.82,7,9,11,12,5,3650,112,124,10,134,111
D (RC),28.84873374401095,12,11,9,3425,6.83,10,11,11,10,2,1850,79,94,7,72,79
"DM, M (C)",28.555783709787818,12,14,14,1076,6.78,11,12,11,11,7,5250,118,156,15,134,116
"WB (R), AM (RLC)",30.412046543463383,15,17,12,2631,6.88,13,12,12,18,8,5400,135,135,16,185,133
D/WB (L),29.790554414784395,14,16,16,1649,6.81,12,13,11,10,11,4000,118,137,13,134,117
"M/AM (L), ST (C)",29.744010951403148,14,12,10,1170,6.65,15,10,8,10,8,2500,87,125,12,107,87
D/WB (L),28.851471594798085,15,16,12,2010,6.79,11,11,12,12,10,2250,103,112,11,107,103
D (C),30.954140999315538,14,15,12,2769,6.95,14,9,10,10,8,3750,107,132,13,107,108
GK,29.300479123887747,13,12,6,4800,6.93,7,10,10,6,6,850,69,85,5,46,69
D (RL),29.05133470225873,12,6,10,4366,6.79,8,5,8,12,17,2250,69,115,2,46,68
"AM (RLC), ST (C)",28.501026694045173,6,14,8,3148,6.61,9,11,10,12,6,1400,86,102,11,85,85
"D (C), DM, M (C)",29.78507871321013,14,14,13,2638,6.79,9,13,12,13,9,1250,73,90,7,72,73
"AM (RL), ST (C)",29.817932922655714,7,9,11,2593,6.6,8,12,9,16,6,2300,89,115,9,72,88
"D (LC), WB (L)",29.78781656399726,12,14,15,2401,6.75,13,15,15,15,7,5000,131,144,16,185,131
GK,29.234770704996578,14,10,7,3780,6.69,18,7,20,17,9,1650,71,95,4,46,71
M/AM (C),29.744010951403148,12,12,9,2028,6.68,10,10,12,8,8,1500,81,100,5,72,80
"D (RC), DM",29.60438056125941,11,10,8,3331,6.74,10,8,9,8,12,1500,68,90,9,46,65
"D (R), DM, M (C)",29.377138945927445,12,11,15,488,6.83,10,10,7,5,6,2500,80,105,9,85,78
"DM, M/AM (C)",29.54962354551677,5,14,17,3410,6.82,11,12,11,13,6,3000,104,130,10,107,105
"M (C), AM (LC)",28.027378507871322,12,10,12,3374,6.86,13,12,14,12,10,4500,127,135,15,134,126
ST (C),29.760438056125942,9,9,9,1936,6.84,7,7,7,6,5,1250,67,97,3,46,67
"D (C), DM, M (C)",30.33538672142368,16,14,16,3232,6.91,15,12,14,12,12,2750,106,125,20,107,106
"DM, M (C)",29.72210814510609,16,15,11,3125,6.77,12,12,14,14,7,3500,114,132,15,134,115
D (C),29.71937029431896,9,11,12,746,6.74,11,8,12,9,6,2000,94,115,12,85,93
GK,29.61533196440794,11,11,11,2009,6.6,11,12,11,7,3,1750,81,95,11,72,80
D (C),29.700205338809035,15,15,12,3357,6.77,5,12,10,18,3,400,79,90,9,72,79
ST (C),28.95277207392197,15,15,12,3704,7.2,10,13,14,12,7,2750,114,125,8,107,114
D/WB (L),29.691991786447637,15,11,14,748,6.66,3,13,10,16,1,2250,103,114,14,134,103
D (LC),29.49486652977413,14,13,13,3637,6.96,10,10,15,12,8,2750,108,130,5,107,108
GK,29.683778234086244,13,13,7,948,6.59,7,7,8,8,12,1750,77,100,6,85,77
M (C),29.637234770704996,11,10,6,3020,6.87,13,8,12,10,5,1250,84,88,7,72,83
ST (C),29.54962354551677,13,14,8,1605,6.94,14,12,12,9,12,2250,92,115,12,85,91
"AM (C), ST (C)",29.82340862422998,18,15,11,717,6.79,12,15,14,8,15,5750,130,140,18,134,129
D (C),29.639972621492127,15,14,13,2179,6.72,16,13,13,13,5,5250,129,148,15,185,126
"DM, M (C)",28.996577686516083,11,13,12,4320,6.84,10,9,9,8,10,1500,75,110,5,46,74
"WB (L), M (LC)",28.908966461327857,10,13,12,963,6.85,11,10,13,16,8,4250,121,131,13,185,119
"D (LC), WB (L)",29.650924024640656,13,9,9,2525,6.65,8,8,14,8,13,2850,117,131,11,134,115
D/WB/M/AM (L),29.352498288843258,14,10,10,2295,6.84,9,10,5,9,15,1300,64,95,11,46,61
GK,29.65639972621492,15,14,10,630,7.16,11,7,9,11,5,2250,115,120,16,134,115
ST (C),29.711156741957563,12,16,11,1992,6.91,12,6,10,8,5,2250,93,99,15,85,92
"DM, M (C)",29.68104038329911,14,15,13,2883,6.94,11,14,12,11,4,2250,76,100,8,46,76
GK,27.926078028747433,15,13,16,3933,6.55,13,10,12,19,7,750,64,82,12,46,67
GK,29.190965092402465,15,9,10,4089,6.78,14,9,13,13,3,700,68,75,1,46,68
D (C),29.232032854209447,12,11,11,1060,6.69,14,10,12,9,8,1250,80,95,7,72,77
D (C),29.831622176591377,14,14,8,757,6.74,10,5,12,11,15,2250,78,115,15,85,78
"M (RL), AM (L)",29.32511978097194,13,14,12,3694,6.77,9,12,10,12,8,1250,72,113,9,46,72
"AM (LC), ST (C)",29.22655715263518,12,9,8,334,6.44,10,10,9,11,14,2000,78,123,9,72,75
GK,29.79876796714579,12,12,14,335,6.4,10,7,13,7,4,2500,105,120,16,134,105
"DM, M (C)",30.368240930869266,13,13,12,0,0.0,10,12,3,10,7,1150,68,72,14,72,68
D (C),29.83436002737851,16,12,15,2939,6.84,12,13,13,15,9,5000,120,135,14,130,120
D (C),28.076659822039698,7,12,10,2753,6.87,8,7,11,7,17,2250,95,110,8,85,93
GK,29.097878165639973,9,3,12,5160,6.89,2,7,13,10,15,1500,84,105,7,46,84
"DM, M (C)",29.645448323066393,15,16,7,149,6.75,13,12,12,6,8,2000,68,108,7,72,68
D (C),29.308692676249144,10,3,10,3463,6.74,5,9,6,20,5,500,61,70,6,46,61
M/AM (RC),29.776865160848732,14,13,13,378,6.6,12,11,13,10,6,4250,121,122,14,185,119
ST (C),29.560574948665298,12,18,12,3199,6.63,13,12,14,5,5,2250,89,115,6,85,89
"D (RC), DM",29.097878165639973,15,13,17,2835,6.98,14,14,16,10,9,8000,166,170,20,185,166
"DM, M (C)",29.746748802190282,15,12,11,3719,6.73,10,11,10,10,11,2000,66,110,6,46,66
ST (C),29.686516084873375,12,11,13,1548,7.06,8,10,6,4,3,1900,74,107,9,72,72
"DM, M/AM (C)",29.987679671457904,11,11,12,2980,6.88,11,11,12,6,5,2150,91,115,6,85,90
"AM (RL), ST (C)",30.472279260780287,11,14,14,3541,6.79,8,7,6,7,5,1250,74,95,10,46,74
ST (C),29.930184804928132,14,14,13,3615,6.94,11,7,10,18,13,1650,85,105,7,72,85
"AM (RLC), ST (C)",28.413415468856947,14,12,13,216,6.73,9,10,10,19,10,5000,113,140,15,134,113
M/AM (RL),28.32854209445585,11,10,14,3103,6.85,12,10,11,9,7,2750,108,125,9,107,108
"D (C), ST (C)",28.583162217659137,13,13,9,3039,6.86,9,8,11,9,2,1750,62,105,11,46,62
"AM (RL), ST (C)",28.147843942505133,12,12,13,3098,6.98,12,11,11,14,5,2750,108,127,13,107,108
GK,28.605065023956193,15,3,13,0,0.0,10,8,12,7,8,2500,83,115,7,85,83
"DM, M (C)",30.767967145790553,12,14,12,942,6.69,13,10,15,10,12,4000,123,140,14,134,112
"DM, M/AM (C)",28.188911704312115,13,10,12,245,6.72,10,11,7,10,2,4250,114,139,16,134,112
M/AM (RLC),28.815879534565365,12,12,13,858,6.63,10,8,12,11,6,3250,120,124,13,134,117
"M (C), AM (RLC)",28.40520191649555,12,8,11,1048,6.95,7,4,12,12,17,2750,110,125,11,130,108
D/WB (R),28.290212183436,14,13,14,1893,6.81,14,14,12,15,10,6300,141,162,14,178,140
"M/AM (RL), ST (C)",27.969883641341546,11,12,15,1622,6.91,14,10,12,12,12,7300,156,165,19,173,154
"D (C), DM",27.923340177960302,10,3,13,3714,6.7,13,11,11,19,10,2000,95,106,6,85,93
"AM (RL), ST (C)",28.35044490075291,14,14,14,2580,6.86,11,11,11,9,15,2500,92,120,16,85,91
D/WB (L),28.522929500342233,15,15,13,3039,6.98,12,15,14,9,2,2750,100,112,13,85,100
D (RC),28.739219712525667,16,15,9,1559,6.94,10,14,12,9,5,2750,106,125,5,107,105
"WB (L), DM, M (C)",28.20807665982204,17,16,18,2919,6.89,10,13,14,14,17,2150,100,115,8,107,103
"D (RC), WB (R)",28.61327857631759,12,10,10,2757,6.75,9,6,8,7,6,1500,76,105,11,72,76
GK,28.681724845995895,10,14,10,0,0.0,10,12,8,10,5,2000,75,110,15,85,76
"D (C), DM, M (C)",28.553045859000683,12,8,12,3654,6.8,12,11,12,14,11,3000,109,136,12,85,110
D (C),28.202600958247775,10,14,10,3257,6.68,9,11,9,12,15,2000,65,88,3,46,65
"AM (C), ST (C)",28.583162217659137,14,12,12,86,6.75,12,12,12,13,12,4000,116,130,14,185,116
"DM, M/AM (C)",31.509924709103355,6,9,14,3116,6.93,11,5,14,6,2,500,63,75,8,46,57
"DM, M (C)",28.49281314168378,11,18,16,3579,6.77,12,11,14,12,5,3500,125,140,16,134,126
"DM, M (C)",28.473648186173854,15,15,11,2413,6.88,9,10,12,8,12,5000,130,135,19,134,129
D/WB/M/AM (L),28.407939767282684,10,11,12,3214,7.25,8,9,11,4,5,1500,76,95,5,72,76
D (RC),28.698151950718685,11,9,11,1751,6.85,11,10,11,9,2,600,85,89,9,72,80
ST (C),29.730321697467488,6,11,10,4444,7.14,10,11,8,12,14,1600,66,110,10,46,66
"DM, M (C)",28.55852156057495,11,11,8,2664,6.69,8,8,11,12,12,1000,86,100,9,72,84
"D (RC), WB (R)",28.024640657084188,15,14,12,1046,6.91,8,12,12,20,3,3500,110,140,11,134,107
"DM, M (C)",28.281998631074607,18,15,12,3548,6.65,14,13,15,9,16,4500,118,140,14,134,120
D/WB (L),28.83230663928816,14,16,10,1663,6.7,11,14,13,11,8,1500,65,107,2,72,65
"M (RL), AM (RLC)",27.811088295687885,15,14,16,3598,7.25,14,16,15,12,8,7500,164,175,20,185,166
D (RC),29.60438056125941,16,14,10,2963,6.86,12,14,14,15,12,2400,95,120,12,85,95
"AM (R), ST (C)",28.761122518822724,13,10,11,1605,7.04,9,10,12,18,17,1850,61,120,6,46,60
GK,28.418891170431213,15,11,9,4500,6.71,12,12,11,10,12,1750,84,115,11,85,92
