Position,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
M/AM (C),32.31759069130732,15,16,15,10,0.0,13,8,15,13,5,3500,102,24,9,80,-1
"DM, M (C)",34.48870636550308,15,12,13,2046,6.65,12,14,12,11,7,1950,94,8,5,80,-11
"DM, M (C)",31.50171115674196,12,11,12,3246,6.74,11,12,14,10,5,1750,103,16,7,80,-3
M (C),31.964407939767284,11,13,9,239,6.72,13,9,8,9,9,1250,82,7,8,80,-2
D (C),33.45653661875428,18,14,13,112,6.9,12,9,12,9,16,5000,108,31,10,173,-5
"AM (C), ST (C)",32.04380561259411,14,14,11,1954,6.87,12,10,12,9,8,3800,94,14,7,80,0
"D (C), DM, M (C)",30.321697467488022,9,12,12,3406,6.86,11,10,12,5,6,3250,103,15,6,80,0
GK,31.871321013004792,17,17,13,3600,6.89,13,15,13,12,2,3000,125,5,13,130,0
"AM (RL), ST (C)",31.72621492128679,15,14,14,3065,6.64,13,11,11,12,5,3500,94,26,5,80,-1
"M/AM (RL), ST (C)",32.09582477754962,17,18,15,450,6.85,14,10,13,6,13,3250,94,11,10,80,-3
"D (LC), WB (L)",31.200547570157426,11,13,12,1900,6.76,12,8,12,17,10,2900,83,42,6,80,-8
"D (LC), WB (L)",30.989733059548254,13,12,11,2585,6.73,10,12,12,8,5,3100,99,6,9,80,-3
GK,32.18343600273785,16,13,11,0,0.0,14,14,9,10,9,3200,108,5,17,173,-1
"M (C), AM (LC)",32.35044490075291,11,11,8,2925,6.94,14,11,10,14,3,3000,101,19,6,80,-9
D/WB/M (RL),32.22724161533196,14,13,11,2158,6.67,12,11,14,7,5,3200,97,12,9,80,-8
ST (C),33.08145106091718,12,13,12,2230,6.88,13,13,14,11,5,1700,94,5,9,80,-13
"AM (L), ST (C)",31.953456536618756,14,13,14,1279,6.85,13,11,12,14,4,3300,104,21,7,80,-5
D (C),31.969883641341546,13,13,8,3087,6.72,10,10,11,12,9,1750,95,1,8,80,-7
ST (C),29.779603011635867,15,17,15,2765,6.7,13,10,12,5,6,3050,93,19,9,80,0
GK,32.336755646817245,17,14,13,2605,6.87,12,13,15,15,5,5250,127,16,14,173,-2
D/WB (RL),31.770020533880903,9,15,12,2982,6.76,14,9,14,13,4,4200,95,35,5,80,-7
D/WB/M (R),32.31211498973306,16,16,15,785,6.69,14,14,14,10,14,6000,139,15,19,173,-9
D (C),32.224503764544835,11,12,11,3206,6.86,12,11,11,6,5,2900,99,21,12,80,-4
ST (C),32.14784394250513,15,17,13,465,6.83,11,13,12,14,16,3250,88,32,5,80,-4
"DM, M (C)",31.980835044490075,12,13,14,3102,6.91,16,14,14,9,4,4500,117,12,11,120,-4
D/WB (L),31.68788501026694,18,19,14,1112,6.86,15,14,14,11,3,4450,106,22,12,80,-3
D (C),31.419575633127995,15,15,13,2340,6.57,13,13,12,14,8,3350,110,9,14,120,-1
"DM, M (C)",32.29295003422313,12,14,13,2247,6.94,11,15,11,10,7,5000,113,16,12,80,-9
"DM, M (C)",32.18343600273785,8,12,11,1373,6.65,11,10,12,9,10,3350,91,24,10,80,-8
"DM, M (C)",31.5564681724846,12,15,14,41,6.6,10,10,10,12,9,3000,108,2,15,120,-4
AM (RLC),31.742642026009584,12,12,11,517,6.78,11,5,14,12,8,3300,110,10,17,80,-7
D (C),33.111567419575636,13,10,11,5,0.0,12,11,11,12,8,1600,88,22,9,80,-8
AM (C),33.308692676249144,14,13,12,180,6.3,11,12,14,12,3,3250,108,11,10,80,-7
GK,31.498973305954827,14,16,12,3420,6.71,10,8,10,8,12,3250,105,7,10,80,0
"AM (L), ST (C)",31.720739219712527,13,9,13,1418,6.77,11,8,10,8,2,1400,94,5,5,80,-6
GK,31.342915811088297,12,13,13,1440,6.88,14,11,13,9,9,2250,94,25,9,80,0
D (C),31.73990417522245,12,15,14,376,6.76,12,15,14,14,9,3850,104,16,13,80,-5
GK,31.45516769336071,15,12,14,3690,6.71,14,15,13,10,5,4750,117,13,11,120,1
D (C),32.0766598220397,7,12,7,129,6.85,12,8,10,8,9,1750,90,9,8,80,-4
M/AM (RLC),32.224503764544835,13,13,11,40,6.7,12,13,14,12,3,4000,109,16,13,120,-6
"AM (LC), ST (C)",31.89322381930185,10,13,11,764,6.67,9,12,9,15,7,2750,93,22,5,80,-5
D (C),31.731690622861056,8,17,11,362,6.73,15,13,17,10,13,2900,93,27,6,80,-6
GK,30.642026009582477,15,15,14,180,6.75,12,14,15,14,13,5500,137,13,18,173,-1
ST (C),32.28199863107461,15,13,16,1482,6.87,12,14,13,11,8,3850,112,14,13,80,-5
M/AM (RL),31.81930184804928,12,12,11,2391,6.85,9,13,15,13,7,1950,100,15,5,80,-6
"DM, M (RC)",33.86447638603696,14,14,11,2688,6.95,13,11,14,9,9,3300,109,12,5,80,-9
ST (C),33.073237508555785,15,15,14,834,6.86,13,12,12,14,6,3400,96,24,14,80,-9
M (RLC),30.94866529774127,11,13,12,1290,6.91,13,7,12,7,6,950,91,2,8,80,-1
D/WB (RL),33.01026694045174,16,15,14,2894,6.95,13,11,14,11,6,4850,109,21,6,120,-6
M (C),31.37577002053388,14,13,10,41,6.6,13,14,11,13,12,1250,86,6,8,80,-6
"M (C), AM (RC)",31.731690622861056,12,13,12,2885,6.97,12,12,12,12,9,3850,108,13,7,80,-7
ST (C),33.379876796714576,14,13,14,3166,6.57,14,2,11,12,9,2550,108,12,7,80,-8
D (C),35.15674195756331,12,14,13,3505,6.9,9,10,13,10,7,3250,116,2,8,120,-10
D/WB/M (L),31.786447638603697,10,12,10,2175,6.84,11,13,12,14,7,2000,97,15,6,80,-13
"DM, M (C)",31.926078028747433,14,1,9,738,6.72,10,9,11,10,11,2000,93,7,9,80,-10
D (C),31.5564681724846,9,13,10,274,6.82,11,11,9,13,12,2100,94,21,9,80,-6
"DM, M (C)",30.406570841889117,19,14,15,2254,6.7,15,17,15,10,5,2500,95,19,5,80,-1
D (C),29.44832306639288,12,13,10,3113,6.94,11,12,13,13,12,2700,106,4,12,80,-1
ST (C),29.72210814510609,14,11,11,2729,6.76,13,11,11,12,6,2700,99,10,9,80,0
M/AM (C),29.82067077344285,15,13,13,2009,6.76,12,6,11,7,12,4250,121,9,11,120,-4
"DM, M (C)",31.72895277207392,11,14,13,1946,6.67,8,8,12,11,13,3000,94,11,8,80,-8
D (C),31.685147159479808,14,11,6,1653,6.82,6,4,12,13,9,3050,102,12,17,80,-8
D/WB/M (L),31.800136892539356,16,12,13,282,6.7,11,9,15,10,5,2250,88,7,5,80,0
"AM (RLC), ST (C)",30.34360027378508,15,13,13,3367,7.17,12,12,12,10,7,2800,103,26,14,80,1
D (C),29.861738535249827,10,14,14,1248,6.71,12,10,12,16,7,3750,90,25,10,80,0
"D (RC), WB (R)",30.765229295003422,14,12,12,2210,6.78,11,10,14,13,14,4500,117,29,18,120,-6
"AM (RLC), ST (C)",31.38672142368241,12,14,13,1100,7.19,11,12,13,13,5,3100,100,15,10,80,-2
"DM, M (C)",33.23477070499658,13,11,12,1841,6.84,13,10,11,12,12,3500,105,10,14,80,-11
M/AM (C),31.392197125256672,15,13,14,929,6.84,12,15,12,12,11,4250,106,24,13,80,-7
D (C),31.46611909650924,13,14,14,2472,6.9,12,15,13,10,5,1750,96,14,10,80,-5
D/WB/M (L),30.63107460643395,12,12,12,781,6.81,12,12,11,13,6,3250,97,19,13,80,0
D (C),30.830937713894592,17,15,18,2646,6.92,10,13,11,13,12,3250,94,28,17,173,-1
D (C),30.012320328542096,12,11,7,3519,6.74,12,11,12,5,4,1250,103,2,7,80,0
"AM (R), ST (C)",30.913073237508556,10,13,12,3226,6.95,11,10,16,14,9,2250,105,11,5,80,-1
D/WB/M (R),31.077344284736483,13,12,12,1013,6.87,13,11,15,7,4,2550,98,15,17,80,-3
"DM, M (C)",30.4476386036961,19,13,13,2933,7.09,12,9,12,14,5,3600,113,11,13,80,-1
AM (RLC),28.722792607802873,17,15,13,2221,6.7,12,13,14,12,7,3350,96,24,6,80,0
"M (RLC), AM (LC)",29.388090349075977,17,17,12,287,6.92,12,8,14,10,6,4450,123,2,12,173,0
GK,29.746748802190282,16,15,13,0,0.0,14,15,11,12,11,3150,105,10,18,173,0
D (RC),30.2943189596167,15,15,13,3890,6.9,15,12,15,12,15,4900,121,8,17,120,-2
AM (R),31.082819986310746,12,11,12,2566,6.65,11,8,11,13,5,2400,100,35,7,80,-3
D (C),30.316221765913756,14,14,13,69,6.55,11,13,12,8,9,2250,104,11,10,120,0
"D (RL), WB (R)",32.167008898015055,14,12,14,3412,7.15,12,11,14,10,10,3500,112,12,11,120,-8
ST (C),33.152635181382614,14,14,12,80,6.57,13,12,13,13,5,2000,97,23,17,80,-6
ST (C),29.73305954825462,12,13,13,489,6.4,12,11,15,12,8,1250,99,6,7,80,0
D (C),32.05201916495551,13,13,10,3004,6.78,11,9,11,2,6,1050,94,3,6,80,-3
M (C),32.16974674880219,11,12,9,2958,6.79,13,13,11,4,7,1050,92,2,6,80,-5
M/AM (RC),28.980150581793293,15,12,11,46,6.5,11,9,13,12,9,2700,102,8,6,80,0
"WB (RL), M (RLC)",31.50171115674196,13,12,13,233,6.61,11,14,12,13,10,4800,117,10,14,120,-8
GK,31.145790554414784,13,13,15,450,7.1,12,12,14,11,5,5000,132,8,19,173,-2
D (C),33.3388090349076,14,15,15,1177,6.68,11,16,13,13,6,2500,93,20,10,80,-4
"M (C), AM (LC)",33.70841889117043,12,13,15,773,6.66,11,10,12,7,8,3100,95,25,18,173,-11
ST (C),31.471594798083505,13,10,12,1812,6.95,12,10,12,13,13,2500,105,25,10,87,-9
"DM, M (C)",30.031485284052017,15,14,14,491,6.87,14,13,13,14,6,3350,114,2,13,120,0
M/AM (RLC),31.274469541409992,13,13,12,700,6.85,12,12,15,12,7,3600,101,17,13,80,-2
ST (C),31.28268309377139,12,12,12,3147,7.12,10,11,10,12,4,2000,100,17,8,80,-1
D/WB (R),31.091033538672143,10,7,9,2488,6.8,11,12,11,10,5,3300,98,5,12,80,0
"AM (L), ST (C)",31.2580424366872,14,12,11,265,6.84,11,10,11,12,7,1050,86,6,7,80,-1
"DM, M (C)",31.0362765229295,16,14,13,1450,6.65,9,12,14,8,12,2000,87,18,9,80,0
GK,30.036960985626283,10,12,14,2880,6.78,10,10,8,10,8,1450,84,6,13,86,-1
D/WB (R),31.44147843942505,14,13,15,3345,7.18,12,12,13,6,5,4800,103,20,12,80,-2
"AM (RL), ST (C)",31.10198494182067,16,17,13,261,6.83,12,9,12,12,4,4950,118,15,14,120,0
D/WB/M (L),30.882956878850102,15,13,12,2130,7.05,14,10,15,13,3,3850,110,13,6,120,-2
ST (C),30.751540041067763,10,10,13,821,6.76,9,9,9,12,11,2800,92,33,8,80,-2
GK,30.84188911704312,12,12,12,3630,6.88,13,12,14,12,5,4050,109,16,12,80,-2
"D (RLC), WB (RL)",30.6694045174538,12,14,13,2685,6.87,12,13,13,11,5,4250,116,9,11,120,-3
D (RC),31.44147843942505,11,13,10,3184,6.87,13,13,12,11,12,1850,94,24,8,80,-8
"AM (RLC), ST (C)",30.973305954825463,17,16,14,2237,6.68,11,10,14,11,14,5000,125,20,10,120,-2
GK,30.00684462696783,7,13,14,3720,6.69,12,12,14,10,4,4500,123,3,14,120,0
"DM, M (C)",31.274469541409992,12,12,14,0,0.0,12,10,14,8,15,3250,104,24,12,120,-5
"D/WB (RL), M (R)",31.058179329226558,15,15,15,2480,7.15,13,12,14,12,14,5650,140,9,17,173,-1
ST (C),32.158795345653665,14,13,12,1172,6.78,13,12,12,10,5,4650,110,19,6,120,-1
D (C),30.401095140314855,12,15,15,3182,6.88,13,13,14,16,6,1650,103,4,10,80,-1
"D/WB (RL), M (L)",29.883641341546884,15,12,12,2007,6.78,10,12,12,14,9,2500,90,28,5,80,-1
M/AM (C),32.04380561259411,13,11,13,2799,6.81,13,13,12,12,7,3500,96,16,5,80,-6
ST (C),30.934976043805612,15,12,18,196,6.9,9,10,9,11,5,1900,95,12,10,80,-1
D (C),33.53593429158111,8,10,11,3000,6.64,8,5,9,10,7,1100,88,8,5,80,-7
M (C),29.976728268309376,14,16,15,2615,7.13,14,12,17,11,13,3400,103,16,12,80,0
M (C),30.811772758384667,13,14,8,2375,6.71,11,6,11,5,9,1850,92,10,8,80,-5
ST (C),29.533196440793976,17,18,11,1506,6.71,12,13,13,12,11,5950,138,17,20,173,-1
"DM, M (C)",34.0807665982204,13,13,13,1613,6.97,10,10,13,14,12,2800,93,29,8,80,-11
"AM (LC), ST (C)",29.297741273100616,14,13,12,2911,6.72,15,13,13,10,7,2650,99,11,7,80,0
GK,28.484599589322382,10,10,10,0,0.0,12,11,12,10,5,3750,112,8,13,173,0
AM (RC),29.503080082135522,11,13,11,236,6.93,12,9,10,13,15,4600,101,27,12,80,0
"AM (LC), ST (C)",29.924709103353866,13,16,14,0,0.0,14,10,14,13,5,5300,131,11,10,173,-4
M/AM (C),29.472963723477072,13,12,12,3087,6.83,12,9,11,15,4,5850,121,14,18,120,1
D (LC),29.83436002737851,14,12,14,3354,6.93,11,10,13,8,8,4150,123,9,10,120,0
D (C),29.084188911704313,12,13,12,3880,6.77,8,11,12,11,8,3700,103,7,6,80,0
D (C),29.927446954141,13,12,11,2659,6.64,12,12,10,12,8,1100,97,13,5,80,-2
M/AM (C),29.842573579739906,12,12,8,2982,6.89,13,10,14,11,9,2150,103,7,6,80,-2
D (C),30.17932922655715,15,15,13,6,0.0,11,13,12,7,7,3250,92,21,14,80,0
"DM, M (C)",30.083504449007528,14,14,13,1312,6.91,11,13,12,13,4,4500,105,20,12,80,-3
D/WB (L),29.741273100616016,13,12,13,1316,6.78,11,11,12,12,5,3450,111,5,13,120,-1
GK,30.3709787816564,15,15,11,210,6.05,14,7,10,12,6,3650,118,7,16,173,0
GK,29.32785763175907,12,11,11,3376,6.78,12,11,14,10,4,1600,99,31,16,80,0
"DM, M (C)",28.358658453114305,11,13,14,1137,6.82,15,12,11,12,9,4500,109,16,13,120,0
GK,30.72142368240931,12,12,12,0,0.0,12,10,13,14,5,4000,97,23,10,120,0
GK,31.20328542094456,16,12,11,1089,6.82,10,11,14,11,9,1250,96,6,9,80,0
D/WB (L),29.88637919233402,14,13,13,3172,6.87,11,11,11,12,11,1200,96,12,5,80,-1
M/AM (C),29.730321697467488,8,13,11,891,7.0,7,7,12,5,8,3150,95,13,13,80,-1
"AM (RC), ST (C)",29.27857631759069,15,11,12,332,6.48,12,6,12,11,9,5200,123,14,16,173,-3
ST (C),29.333333333333332,12,15,17,2751,7.04,11,14,9,14,6,3000,98,20,12,80,0
D (C),30.012320328542096,11,13,11,1841,6.79,13,9,11,10,15,3500,95,30,7,80,-4
GK,31.096509240246405,15,16,12,3121,6.69,12,2,13,5,4,1450,96,9,5,80,0
AM (RC),30.647501711156742,13,13,13,1769,6.81,14,9,13,9,8,1900,97,11,9,80,-4
"DM, M (C)",30.349075975359344,12,15,12,2636,6.9,13,18,12,12,5,3450,111,9,5,80,-1
D/WB/M (L),31.077344284736483,13,13,11,2897,6.81,12,9,12,13,6,2200,89,20,8,80,-4
GK,28.919917864476385,20,13,9,3510,6.73,12,15,15,14,8,1100,92,5,8,80,0
ST (C),32.04380561259411,14,13,11,306,6.55,11,6,11,14,14,5250,124,16,12,173,-7
"DM, M (C)",31.249828884325805,11,12,11,2620,6.89,11,12,10,8,8,2450,97,16,5,80,0
M/AM (C),30.494182067077343,10,11,9,3114,6.79,10,9,11,13,7,1750,97,3,9,80,-1
AM (RL),31.73990417522245,13,12,12,1055,6.95,13,12,7,19,9,4000,113,3,13,80,-6
D (C),31.485284052019164,11,11,14,3390,6.92,12,10,12,13,5,1900,94,16,7,80,-3
"AM (RLC), ST (C)",29.70841889117043,10,4,9,3081,6.87,10,11,14,11,6,2650,111,19,12,80,0
"D (RL), WB (R)",29.754962354551676,16,16,16,2947,6.79,14,13,15,13,7,3750,121,4,10,120,0
M/AM (C),29.39082819986311,13,14,13,374,6.8,13,13,14,7,9,3750,110,11,12,120,0
D (C),31.463381245722108,13,14,13,0,0.0,10,10,12,11,5,4750,119,11,15,173,-3
ST (C),31.01163586584531,14,13,12,184,6.88,15,11,12,11,7,5250,113,17,11,120,0
"AM (RLC), ST (C)",32.24640657084189,9,11,9,2517,6.65,11,9,10,7,6,2100,99,5,7,80,-7
D (RC),32.26830937713895,14,13,13,0,0.0,14,12,13,11,5,3850,107,17,12,80,-2
ST (C),32.427104722792606,11,11,11,821,6.64,10,10,13,11,10,2250,119,8,14,120,-11
ST (C),32.33949349760438,12,12,10,13,0.0,14,10,10,8,9,1300,102,4,5,80,-7
ST (C),31.742642026009584,12,11,13,1104,6.95,9,9,11,8,10,3400,91,34,5,80,-6
GK,31.071868583162217,12,13,12,3720,6.96,10,11,12,10,8,3100,108,6,12,80,1
"AM (R), ST (C)",30.261464750171115,12,9,7,3190,6.98,13,11,12,11,7,2000,97,6,8,80,-1
"AM (L), ST (C)",31.175906913073238,12,13,14,934,6.85,12,12,13,11,4,3850,115,10,8,120,-3
"DM, M (C)",30.72416153319644,11,12,15,1421,6.79,9,14,11,14,10,2500,103,12,13,80,-4
"DM, M (C)",31.27173169062286,16,14,15,3482,6.79,14,15,12,17,3,5450,118,9,8,120,0
M (C),30.316221765913756,17,16,12,3113,6.94,14,15,13,10,13,4450,115,24,17,80,0
D/WB/M (R),29.678302532511978,11,7,12,2652,7.06,11,12,12,14,9,3750,110,10,14,80,-2
D/WB/M (R),30.12457221081451,14,13,12,307,6.76,12,10,13,11,9,4500,111,17,11,120,0
"DM, M (C)",29.61259411362081,14,11,14,873,6.69,13,12,10,11,12,1600,96,20,7,80,0
D (C),32.17522245037645,9,11,13,2980,6.8,10,13,12,8,6,2500,96,14,9,80,-9
D/WB/M (R),30.119096509240247,13,10,12,2466,6.75,14,11,14,10,10,2150,103,7,10,80,-8
M (RC),30.666666666666668,12,14,7,3192,7.11,10,12,14,7,3,2900,104,12,8,80,-1
GK,29.793292265571527,12,14,14,0,0.0,9,14,12,12,4,2700,95,7,13,120,0
D/WB (R),29.911019849418206,17,17,15,3228,7.1,14,16,15,14,6,6500,154,5,17,173,3
"D (C), DM, M (C)",30.29158110882957,11,14,11,23,0.0,9,10,8,8,5,2400,88,31,13,80,0
"D (LC), WB/M (L)",30.92950034223135,11,6,11,146,6.77,9,11,14,14,11,4750,125,7,15,178,-9
D (C),31.132101300479125,15,15,12,3555,6.75,14,13,12,12,7,5450,122,23,12,173,1
D (C),29.229295003422312,12,12,11,626,6.49,12,11,13,16,5,2250,89,26,16,80,0
"WB/M (R), AM (RL)",30.067077344284737,12,14,15,3128,6.86,12,14,11,10,12,4050,102,16,8,80,-2
D (C),29.61806981519507,16,13,13,3117,6.85,14,14,12,13,8,3000,98,17,9,80,-1
GK,29.82340862422998,15,13,15,90,6.5,13,14,12,15,12,4250,123,9,15,161,0
D (C),29.163586584531142,15,14,13,3379,6.95,13,13,14,13,8,2650,118,5,13,120,0
M/AM (RLC),30.297056810403834,14,10,11,3470,6.83,13,11,12,8,6,5000,119,5,8,120,0
AM (RLC),30.507871321013006,13,13,11,71,6.6,13,15,14,9,7,4000,118,10,17,120,0
"D (RC), WB (R)",30.847364818617386,12,13,8,130,6.87,13,16,11,11,3,950,79,5,7,80,0
M (C),32.082135523613964,13,14,11,1267,6.88,13,13,13,12,5,3250,90,25,10,80,-3
D (C),30.94592744695414,13,16,13,2581,6.77,13,12,11,12,6,3950,108,17,11,120,0
"DM, M (C)",31.37303216974675,9,12,11,2575,6.76,10,14,13,11,5,2500,99,21,10,80,-6
D (C),30.89664613278576,15,14,13,33,6.8,14,6,13,16,5,5250,113,15,15,120,0
"DM, M (C)",29.27310061601643,18,18,13,3733,6.88,14,14,12,11,4,4500,119,10,15,120,1
"DM, M (C)",29.557837097878167,15,18,15,1026,6.82,14,12,13,7,6,5250,113,17,11,120,-2
"DM, M (LC)",28.999315537303218,13,13,13,3152,6.82,13,9,11,11,11,3550,98,7,9,80,0
"WB (R), M (RLC), AM (RL)",29.53593429158111,12,14,14,2838,7.06,11,12,11,11,10,4100,109,23,12,80,-1
M/AM (C),30.313483915126625,14,14,14,3391,6.77,12,12,14,14,4,3750,124,4,14,120,-1
M/AM (LC),30.90485968514716,17,12,12,216,6.65,10,11,9,13,13,1150,88,13,9,80,0
D/WB/M (L),29.516769336071185,16,14,14,94,6.75,13,15,14,13,5,4250,119,5,16,120,0
GK,30.357289527720738,11,10,14,270,6.23,6,8,8,10,13,2750,93,20,17,80,0
"D/WB (L), M (LC), AM (L)",29.06776180698152,11,10,12,1859,6.82,13,10,14,11,10,3250,113,6,5,80,0
"DM, M (C)",28.928131416837783,14,13,14,3356,6.93,11,14,14,12,5,3350,118,10,11,120,2
D (LC),29.37987679671458,15,13,12,3264,7.21,15,10,14,10,2,3550,96,14,13,80,0
"WB (R), DM, M (RC)",30.390143737166323,12,14,12,3240,6.73,11,11,14,15,8,3500,118,7,14,120,-1
ST (C),31.488021902806295,14,19,16,184,6.83,15,15,10,11,15,5250,114,11,11,120,-3
"AM (RL), ST (C)",31.917864476386036,13,11,11,653,7.03,12,12,11,14,10,1800,106,14,12,80,-12
WB/M/AM (L),28.725530458590008,13,15,12,0,0.0,13,9,10,12,13,4800,106,10,11,120,-1
M/AM (RL),29.12251882272416,12,15,12,433,6.73,10,13,10,13,5,3550,115,9,12,120,-1
M (C),30.272416153319643,15,15,14,1610,7.03,12,12,13,6,5,1250,99,11,8,80,-1
"M (C), AM (LC)",30.017796030116358,12,10,10,2944,6.68,12,11,14,10,12,3500,95,23,8,80,0
ST (C),28.980150581793293,12,10,10,239,6.58,11,12,11,8,5,3000,116,9,10,120,-1
"DM, M (C)",29.869952087611225,13,13,9,2979,6.98,13,13,12,9,7,1950,95,7,8,80,-1
D (C),29.66461327857632,17,13,14,1460,6.77,12,10,13,13,6,4850,123,11,10,120,-1
"DM, M (C)",31.345653661875428,15,11,12,2867,6.81,13,9,14,10,11,3500,105,14,10,80,-6
"AM (RC), ST (C)",30.65571526351814,12,11,11,653,6.73,12,11,10,14,6,2750,97,21,9,80,-1
D (RC),30.754277891854894,10,10,10,279,6.67,9,14,11,13,5,1100,85,16,5,80,0
D/WB (R),29.336071184120467,13,13,13,106,7.05,12,12,12,10,15,4800,110,33,18,120,-2
D (C),29.16084873374401,18,13,13,0,0.0,12,12,10,12,16,5300,121,27,19,173,-1
"DM, M (C)",28.32306639288159,15,15,15,766,6.75,14,13,14,12,12,4950,123,7,10,173,0
"DM, M (C)",29.23750855578371,20,16,14,2930,6.82,11,12,12,15,9,5950,136,12,10,173,-1
D/WB (L),28.36413415468857,17,15,14,2492,6.66,12,12,13,12,6,3000,104,12,10,80,-1
D/WB (L),28.54483230663929,16,10,13,2783,6.85,4,12,11,11,8,4750,116,14,18,120,0
"DM, M (C)",29.347022587268995,19,18,16,1096,6.73,10,10,12,5,2,3200,111,7,14,120,-1
"DM, M/AM (C)",27.326488706365502,17,15,15,235,6.82,16,16,14,6,3,4250,110,10,13,120,-1
D/WB/M (L),28.11772758384668,15,12,15,2802,6.98,12,12,14,14,8,4100,109,15,14,80,0
D (C),29.634496919917865,14,13,13,2912,7.01,15,11,18,10,8,1850,112,6,13,80,0
D (C),30.442162902121833,12,13,10,3463,7.03,15,12,13,12,12,2650,110,5,13,80,-3
M (C),29.505817932922657,11,10,12,403,6.71,11,10,12,11,8,2250,94,16,9,80,0
"DM, M (C)",27.82751540041068,13,15,12,1978,6.95,9,14,12,10,13,2700,95,10,8,80,0
D (C),28.928131416837783,18,12,15,743,6.81,12,13,14,10,6,5750,137,14,18,173,0
"DM, M (C)",29.363449691991786,9,8,11,888,6.84,12,11,13,9,9,3250,114,6,11,120,0
D (C),28.109514031485283,10,10,10,975,6.84,12,7,11,8,15,1450,103,7,12,80,0
D/WB (RL),29.412731006160165,14,13,13,2982,6.89,13,12,12,15,6,5750,135,10,18,173,2
D (C),28.191649555099247,18,11,11,491,6.79,11,11,10,6,8,1150,90,11,9,80,-1
"DM, M (C)",30.313483915126625,15,15,13,2258,6.87,14,11,14,13,9,5500,140,5,20,173,0
GK,29.04312114989733,13,11,12,0,0.0,13,11,10,7,6,2200,103,7,7,120,0
"D (R), WB/M (RL)",29.27583846680356,10,12,13,2086,6.82,7,10,7,10,13,3150,108,12,7,120,-3
"D (C), DM, M (C)",28.35318275154004,12,8,12,2303,6.69,5,13,17,6,8,1500,80,9,1,73,-3
"WB (R), DM, M (RC)",30.269678302532512,13,14,11,2534,6.84,10,8,11,9,7,2750,99,11,8,80,1
GK,28.27652292950034,15,14,14,3302,6.76,13,12,13,15,16,4500,117,6,15,120,0
"AM (L), ST (C)",28.79397672826831,9,13,7,761,6.51,12,10,11,16,11,1800,91,12,10,80,-1
"AM (C), ST (C)",29.965776865160848,10,14,14,529,6.79,11,14,11,13,7,2500,95,30,8,80,-2
"AM (RLC), ST (C)",29.349760438056126,12,12,12,2800,6.75,10,10,12,10,11,3250,111,9,12,80,-1
GK,27.926078028747433,13,15,13,3360,6.96,14,10,12,10,7,3000,109,11,12,80,0
D (LC),28.369609856262834,15,13,12,3297,6.76,9,10,10,8,12,2500,104,21,6,80,0
WB/M/AM (L),31.222450376454482,12,12,12,3397,7.14,13,11,14,11,7,4000,112,18,13,80,-3
M/AM (C),30.072553045859,11,12,10,3117,7.14,8,10,11,12,6,3250,107,18,13,80,0
GK,28.057494866529773,11,11,12,330,6.6,12,12,12,8,7,3750,99,1,8,120,0
D (C),30.455852156057496,12,1,10,53,6.95,14,9,14,8,6,1000,100,5,9,94,-1
D (C),28.914442162902123,12,12,11,3719,6.68,11,12,12,20,7,4550,98,26,6,80,0
"AM (RC), ST (C)",28.216290212183434,13,12,9,641,6.7,16,11,10,15,7,3250,100,15,6,120,-4
GK,31.613963039014372,12,11,12,1020,6.81,12,13,12,9,4,3350,105,10,13,80,-1
"AM (RLC), ST (C)",29.05133470225873,16,18,13,2896,6.96,12,12,11,13,10,5100,123,11,14,120,2
M (LC),28.34223134839151,13,13,11,1638,6.94,12,14,13,12,5,2600,101,11,7,80,-1
ST (C),28.016427104722794,13,11,13,1116,6.73,10,11,10,13,8,1350,106,6,12,80,-1
M (C),31.561943874058862,14,17,14,2799,6.87,15,11,13,12,4,2600,96,21,9,80,0
"D (LC), WB/M (L)",29.377138945927445,14,12,11,2601,7.01,12,11,13,12,11,2350,98,6,12,80,1
"M (R), AM (RLC)",29.982203969883642,13,15,13,614,6.88,12,14,12,14,4,3500,114,6,12,120,0
"AM (RLC), ST (C)",29.363449691991786,11,10,12,365,6.87,9,8,11,12,11,4750,101,22,17,80,-1
D (C),28.89801505817933,12,12,11,0,0.0,11,13,11,9,9,1900,82,15,8,80,-1
ST (C),28.49281314168378,13,11,11,1014,6.78,11,9,12,14,13,3000,98,17,8,80,-1
"WB (R), M (RC)",31.195071868583163,13,12,12,62,6.6,12,12,10,17,8,3400,101,17,12,80,-1
GK,28.292950034223136,13,14,15,90,7.6,12,13,12,14,5,5500,133,12,17,173,0
ST (C),29.516769336071185,11,13,12,3067,6.64,10,9,9,12,6,1500,103,15,7,80,0
AM (RLC),29.924709103353866,13,13,13,557,6.65,12,12,14,10,5,3000,97,28,13,80,0
"AM (R), ST (C)",29.084188911704313,8,12,13,338,6.67,11,7,11,10,10,1100,82,10,6,80,0
D/WB/M (L),31.41409993155373,12,9,11,3189,6.78,12,8,11,10,5,1250,101,1,7,80,-7
"D/WB (R), M (RL), AM (R)",28.147843942505133,12,9,11,165,6.9,10,11,12,17,16,3000,101,18,13,80,0
"DM, M/AM (C)",29.2621492128679,13,12,12,190,6.57,13,12,12,9,8,3800,114,8,11,120,0
